V,ALT,INDEX,TIME
0,0.1,145,-3.84
0,0.1,146,-3.8
0,0.1,147,-3.76
0,0.1,148,-3.72
0,0.1,149,-3.68
0,0.1,150,-3.64
0,0.1,151,-3.6
0,0.1,152,-3.56
0,0.1,153,-3.52
0,0.1,154,-3.48
0,0.1,155,-3.44
0,0.1,156,-3.4
0,0.1,157,-3.36
0,0.1,158,-3.32
0,0.1,159,-3.28
0,0.1,160,-3.24
0,0.1,161,-3.2
0,0.1,162,-3.16
0,0.1,163,-3.12
0,0.1,164,-3.08
0,0.1,165,-3.04
0,0.1,166,-3
0,0.1,167,-2.96
0,0.1,168,-2.92
0,0.1,169,-2.88
0,0.1,170,-2.84
0,0.1,171,-2.8
0,0.1,172,-2.76
0,0.1,173,-2.72
0,0.1,174,-2.68
0,0.1,175,-2.64
0,0.1,176,-2.6
0,0.1,177,-2.56
0,0.1,178,-2.52
0,0.1,179,-2.48
0,0.1,180,-2.44
0,0.1,181,-2.4
0,0.1,182,-2.36
0,0.1,183,-2.32
0,0.1,184,-2.28
0,0.1,185,-2.24
0,0.1,186,-2.2
0,0.1,187,-2.16
0,0.1,188,-2.12
0,0.1,189,-2.08
0,0.1,190,-2.04
0,0.1,191,-2
0,0.1,192,-1.96
0,0.1,193,-1.92
0,0.1,194,-1.88
0,0.1,195,-1.84
0,0.1,196,-1.8
0,0.1,197,-1.76
0,0.1,198,-1.72
0,0.1,199,-1.68
0,0.1,200,-1.64
0,0.1,201,-1.6
0,0.1,202,-1.56
0,0.1,203,-1.52
0,0.1,204,-1.48
0,0.1,205,-1.44
0,0.1,206,-1.4
0,0.1,207,-1.36
0,0.1,208,-1.32
0,0.1,209,-1.28
0,0.1,210,-1.24
0,0.1,211,-1.2
0,0.1,212,-1.16
0,0.1,213,-1.12
0,0.1,214,-1.08
0,0.1,215,-1.04
0,0.1,216,-1
0,0.1,217,-0.96
0,0.1,218,-0.92
0,0.1,219,-0.88
0,0.1,220,-0.84
0,0.1,221,-0.8
0,0.1,222,-0.76
0,0.1,223,-0.72
0,0.1,224,-0.68
0,0.1,225,-0.64
